Name,playerId,team,PA,AB,primaryPOS,TB,isQualified,OPS,AVG,OBP,SLG,K%,BB%,Whiff%,SwStr%,FB%,GB%,LD%,SB%,BABIP,OPS_percentile,AVG_percentile,OBP_percentile,SLG_percentile,K%_percentile,BB%_percentile,Whiff%_percentile,SwStr%_percentile,FB%_percentile,GB%_percentile,LD%_percentile,SB%_percentile,BABIP_percentile
Eric Filia,596107,MVA,378,314,RF,114,True,0.747,0.28,0.384,0.363,11.6,13.5,17.7,45.7,21.9,58.8,16.1,85.7,0.315,50.0,60.0,75.0,38.0,10.0,87.0,15.0,38.0,22.0,88.0,38.0,71.0,45.0
Alejandro Rivero,681669,CHI,192,174,SS,71,False,0.747,0.282,0.339,0.408,27.6,4.2,31.5,48.9,26.6,44.4,21.8,16.7,0.395,50.0,62.0,50.0,53.0,78.0,15.0,76.0,58.0,44.0,46.0,79.0,15.0,88.0
Daniel Castro,593495,MTY,119,106,SS,42,False,0.746,0.302,0.35,0.396,9.2,7.6,10.4,41.1,19.2,59.6,14.1,100.0,0.323,49.0,75.0,54.0,49.0,4.0,39.0,1.0,13.0,12.0,89.0,28.0,88.0,52.0
Gustavo Nunez,516631,VER,368,319,SS,122,True,0.746,0.279,0.364,0.382,11.1,11.7,13.8,47.3,25.1,54.4,13.4,73.7,0.3,49.0,59.0,64.0,42.0,9.0,75.0,5.0,48.0,35.0,80.0,25.0,57.0,36.0
Brandon Villarreal,661311,SLT,185,160,IF,58,False,0.746,0.313,0.383,0.363,13.0,4.9,23.7,48.3,12.7,61.3,19.7,60.0,0.365,49.0,81.0,74.0,38.0,16.0,18.0,43.0,53.0,5.0,92.0,67.0,43.0,76.0
Javier Salazar,665745,MTY,138,122,IF,53,False,0.745,0.254,0.311,0.434,13.8,8.0,19.4,51.8,31.5,41.7,13.9,25.0,0.275,49.0,43.0,30.0,62.0,22.0,41.0,23.0,73.0,68.0,33.0,27.0,16.0,24.0
Nick Williams,608384,TIJ,153,128,OF,52,False,0.744,0.25,0.338,0.406,26.1,11.8,32.0,45.0,27.7,44.7,19.1,,0.318,48.0,39.0,49.0,52.0,73.0,76.0,78.0,33.0,49.0,47.0,63.0,,47.0
Ariel Sandoval,628366,DUR,167,144,OF,55,False,0.743,0.285,0.361,0.382,16.2,10.8,29.5,47.0,31.4,42.1,17.4,50.0,0.325,48.0,64.0,62.0,42.0,33.0,66.0,69.0,47.0,68.0,34.0,49.0,32.0,53.0
Henry Alejandro Rodriguez,514719,CHI,274,242,2B,93,True,0.742,0.273,0.358,0.384,15.3,11.7,20.5,49.1,33.0,45.5,15.5,66.7,0.313,48.0,56.0,60.0,43.0,29.0,75.0,27.0,59.0,73.0,50.0,35.0,50.0,44.0
Willians Astudillo,553902,AGS,277,247,3B,95,True,0.737,0.291,0.352,0.385,2.5,4.0,13.5,53.6,19.5,46.3,18.7,0.0,0.289,48.0,67.0,56.0,43.0,1.0,13.0,4.0,83.0,14.0,53.0,59.0,7.0,30.0
